its,load_time(us),get_time(us)
693,3300,55,25
694,3724,30,14
695,3301,49,14
696,3626,24,13
697,3266,50,13
698,3299,58,99
699,3884,32,13
700,3313,46,13
701,3298,44,14
702,3744,32,12
703,3342,52,13
704,3700,43,13
705,3337,24,13
706,3265,45,14
707,3702,52,13
708,3336,25,13
709,3316,45,13
710,3686,51,13
711,3308,25,16
712,3535,40,13
713,3515,48,14
714,3335,24,15
715,3864,52,15
716,3328,25,14
717,3322,60,14
718,3936,58,14
719,3335,25,13
720,3446,34,13
721,3610,51,14
722,3335,26,13
723,3525,59,12
724,3334,47,15
725,3327,32,14
726,3550,57,13
727,3334,46,13
728,3332,24,14
729,3575,76,15
730,3901,84,14
731,3556,40,15
732,3334,63,15
733,3332,25,14
734,3514,60,13
735,3340,43,13
736,3395,24,11
737,3434,47,13
738,3332,42,14
739,3553,26,15
740,3330,49,14
741,3332,45,14
742,3515,27,13
743,3335,49,13
744,3327,47,13
745,3513,31,12
746,3334,50,14
747,3519,49,13
748,3334,25,14
749,3333,47,13
750,3511,26,13
751,3331,47,14
752,3326,44,13
753,3507,31,15
754,3341,51,14
755,3520,50,13
756,3332,25,12
757,3333,44,13
758,3514,52,13
759,3331,25,13
760,3411,32,12
761,3426,45,14
762,3332,27,14
763,3508,55,14
764,3334,46,16
765,3333,25,15
766,3531,63,14
767,3333,46,15
768,3397,26,13
769,3434,53,15
770,3335,26,13
771,3508,54,15
772,3335,58,106
773,3563,27,14
774,3496,53,15
775,3333,45,14
776,3400,21,11
777,3433,53,13
778,3327,44,14
779,3646,29,15
780,3332,57,13
781,3335,52,14
782,3706,27,14
783,3335,54,14
784,3473,47,26
785,3515,27,13
786,3331,48,14
787,3603,25,15
788,3336,53,15
789,3331,49,14
790,3568,26,15
791,3334,55,15
792,3475,31,11
793,3595,28,13
794,3334,49,14
795,3695,45,13
796,3327,26,15
797,3335,48,15
798,3620,54,16
799,3333,27,16
800,3420,47,11
801,4604,100,19
802,4506,35,18
803,4653,74,18
804,4576,64,19
805,4667,39,17
806,4458,68,18
807,4596,37,19
808,4457,70,18
809,4602,72,18
810,4490,34,16
811,4580,74,18
812,4575,74,20
813,4638,51,18
814,4499,84,19
815,4704,88,20
816,4568,37,18
817,4572,73,19
818,4533,72,18
819,4659,35,19
820,4557,71,17
821,4495,69,17
822,4566,35,19
823,4661,67,17
824,4501,35,18
825,4622,67,18
826,4539,68,17
827,4701,33,17
828,4552,70,19
829,4559,45,28
830,4527,35,21
831,3461,68,15
832,3494,52,14
833,3330,25,14
834,3503,46,14
835,3333,48,19
836,3354,25,14
837,3496,53,14
838,3332,45,14
839,3341,27,15
840,3536,53,14
841,3332,45,14
842,3488,26,13
843,3334,51,14
844,3333,26,13
845,3492,58,15
846,3331,44,15
847,3328,25,15
848,3489,72,14
849,3397,53,15
850,3505,27,14
851,3340,53,15
852,3334,47,15
853,3505,29,15
854,3334,52,15
855,3325,46,16
856,3647,33,14
857,3333,59,14
858,3645,49,13
859,3338,28,14
860,3330,52,14
861,3625,42,15
862,3823,93,15
863,3350,53,13
864,3629,35,16
865,3333,61,16
866,3504,52,13
867,3345,25,15
868,3332,52,14
869,3519,57,13
870,3334,27,14
871,3330,46,14
872,3514,51,15
873,3335,26,14
874,3501,47,13
875,3336,47,14
876,3333,26,14
877,3521,64,15
878,3335,27,15
879,3332,49,14
880,3512,56,14
881,3346,25,14
882,3505,50,19
883,3327,48,14
884,3331,25,14
885,3580,58,14
886,3333,53,19
887,3360,28,15
888,3515,52,14
889,3331,45,14
890,3507,28,14
891,3328,51,14
892,3333,44,14
893,3512,33,14
894,3331,55,14
895,3345,48,12
896,3506,30,14
897,3332,49,14
898,3539,25,14
899,3327,56,15
900,3332,48,14
901,3559,31,14
902,3332,53,14
903,3405,31,12
904,3432,28,14
905,3328,47,14
906,3631,50,14
907,3326,25,13
908,3333,48,15
909,3489,57,16
910,3332,26,14
911,3470,41,13
912,3534,62,14
913,3332,26,15
914,3556,51,14
915,3331,26,16
916,3333,46,14
917,3515,53,13
918,3334,25,14
919,3332,46,16
920,3686,55,15
921,3331,25,13
922,3532,68,25
923,3352,47,14
924,3327,32,14
925,3479,52,14
926,3334,42,14
927,3331,25,15
928,3485,52,14
929,3333,43,15
930,3502,21,11
931,3453,52,13
932,3335,44,16
933,3415,27,15
934,3333,48,14
935,3333,26,14
936,3419,51,14
937,3333,42,13
938,3384,25,13
939,3434,50,13
940,3326,44,15
941,3485,26,15
942,3361,58,16
943,3333,47,14
944,3603,36,14
945,3334,58,15
946,3333,47,14
947,3512,39,15
948,3337,58,14
949,3556,56,96
950,3574,28,16
951,3332,49,14
952,3504,32,15
953,3335,50,14
954,3332,32,17
955,3476,28,14
956,3333,52,13
957,3491,48,14
958,3324,28,15
959,3333,44,14
960,3727,52,15
961,3335,27,15
962,3331,46,14
963,3653,51,14
964,3333,25,15
965,3488,44,13
966,3326,51,14
967,3325,27,15
968,3543,51,16
969,3342,48,16
970,3332,26,15
971,3495,51,16
972,3331,25,14
973,3487,51,13
974,3328,50,24
975,3327,26,15
976,3495,50,15
977,3334,44,14
978,3333,27,14
979,3495,51,14
980,3334,47,15
981,3490,27,17
982,3329,48,16
983,3332,43,15
984,3535,28,14
985,3334,48,14
986,3332,47,14
987,3496,28,14
988,3336,51,16
989,3678,26,14
990,3334,50,15
991,3337,48,14
992,3509,28,15
993,3333,51,16
994,3333,48,14
995,3668,28,13
996,3333,51,15
997,3567,55,14
998,3332,26,15
999,3327,47,15
1000,3659,49,15
1001,3443,33,13
1002,3512,82,13
1003,3352,41,14
1004,3591,28,13
1005,3267,50,13
1006,3298,23,12
1007,3667,54,13
1008,3377,47,14
1009,3332,27,13
1010,3439,55,14
1011,3331,48,13
1012,3494,29,14
1013,3326,66,14
1014,3328,46,13
1015,3507,29,14
1016,3332,58,72
1017,3371,63,26
1018,3493,26,13
1019,3302,48,14
1020,3586,47,15
1021,3332,24,13
1022,3341,41,12
1023,3572,52,13
1024,3406,27,13
1025,3851,40,12
1026,3777,44,14
1027,3334,73,14
1028,3675,64,14
1029,3342,25,14
1030,3304,50,13
1031,3760,59,14
1032,3288,25,14
1033,3392,33,28
1034,3503,46,13
1035,3272,24,14
1036,3672,51,15
1037,3301,44,13
